"filename", "language", "Batch", "PowerShell", "Properties", "C++", "Python", "HTML", "Markdown", "Visual Basic", "XSL", "JavaScript", "reStructuredText", "CSS", "JSON", "Shell Script", "C", "XML", "Ini", "Lua", "comment", "blank", "total"
"c:\Users\Ravi\Desktop\College_project\myenv\Lib\site-packages\tensorflow\include\unsupported\Eigen\CXX11\src\Tensor\TensorFFT.h", "C++", 0, 0, 0, -535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -62, -75, -672
"c:\Users\Ravi\Desktop\College_project\myenv\Lib\site-packages\tensorflow\include\unsupported\Eigen\CXX11\src\Tensor\TensorFixedSize.h", "C++", 0, 0, 0, -202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35, -44, -281
"c:\Users\Ravi\Desktop\College_project\myenv\Lib\site-packages\tensorflow\include\unsupported\Eigen\CXX11\src\Tensor\TensorForcedEval.h", "C++", 0, 0, 0, -175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -42, -240
"c:\Users\Ravi\Desktop\College_project\myenv\Lib\site-packages\tensorflow\include\unsupported\Eigen\CXX11\src\Tensor\TensorForwardDeclarations.h", "C++", 0, 0, 0, -133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, -37, -194
"c:\Users\Ravi\Desktop\College_project\myenv\Lib\site-packages\tensorflow\include\unsupported\Eigen\CXX11\src\Tensor\TensorFunctors.h", "C++", 0, 0, 0, -425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -47, -489
"c:\Users\Ravi\Desktop\College_project\myenv\Lib\site-packages\tensorflow\include\unsupported\Eigen\CXX11\src\Tensor\TensorGenerator.h", "C++", 0, 0, 0, -225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, -48, -304
"c:\Users\Ravi\Desktop\College_project\myenv\Lib\site-packages\tensorflow\include\unsupported\Eigen\CXX11\src\Tensor\TensorGlobalFunctions.h", "C++", 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, -7, -36
"c:\Users\Ravi\Desktop\College_project\myenv\Lib\site-packages\tensorflow\include\unsupported\Eigen\CXX11\src\Tensor\TensorGpuHipCudaDefines.h", "C++", 0, 0, 0, -69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, -12, -102
"c:\Users\Ravi\Desktop\College_project\myenv\Lib\site-packages\tensorflow\include\unsupported\Eigen\CXX11\src\Tensor\TensorGpuHipCudaUndefines.h", "C++", 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -7, -46
"c:\Users\Ravi\Desktop\College_project\myenv\Lib\site-packages\tensorflow\include\unsupported\Eigen\CXX11\src\Tensor\TensorIO.h", "C++", 0, 0, 0, -306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -46, -375
"c:\Users\Ravi\Desktop\College_project\myenv\Lib\site-packages\tensorflow\include\unsupported\Eigen\CXX11\src\Tensor\TensorImagePatch.h", "C++", 0, 0, 0, -454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -74, -77, -605
